eprtr_facility_id,eprtr_facility_name,eprtr_country,eprtr_activity,activity_label,eta,substitutable_TJ,heat_demand_TJ,note,routing_mode
HR.CAED/000000207.FACILITY,Vetropack Straža d.d.,Croatia,3(e),Mineral fibres,,,,no LCP data,
IT.CAED/341472001.FACILITY,HESTAMBIENTE S.R.L.,Italy,5(b),Municipal waste incineration (WtE),,,,no LCP data,
LV.LVGMC.PRTR/310017.Facility,AS “Latvenergo” Rīgas TEC-2,Latvia,1(c),EXCLUDE — power stations,0.0,317.06,0.0,,tech_split
UK.CAED/EW_EA-789.FACILITY,Shapfell Lime Works,United Kingdom,3(c),Glass,,,,no LCP data,
NO.EEA/0000.0039.02.FACILITY,Ula,Norway,3(a),Cement clinker,,,,no LCP data,
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000002160.ProductionFacility,"UPM Specialty Papers Oy, Tervasaari, Valkeakoski",Finland,6(b),Wood products / panels,1.0,1488.9,1059.35,,tech_split
https://registry.gdi-de.org/id/de.he.0945.de7.pf.eu_industrie/80000011,Dyckerhoff GmbH Werk Amöneburg ,Germany,3(c)(i),Glass,0.95,515.43,263.44,,tech_split
https://registry.gdi-de.org/id/de.st.lau.pf.anlagen-ied-euregistry/100125,Saale Energie GmbH ,Germany,1(c),EXCLUDE — power stations,0.0,40797.25,0.0,,tech_split
GB.EEA/EW_EA-17176.FACILITY,"UK Coal Surface Mines Limited, Butterwell DP Surface Mine",United Kingdom,3(b),Lime,,,,no LCP data,
NL.RIVM/000203273.FACILITY,RWE Eemshaven Holding II B.V.,Netherlands,1(c),EXCLUDE — power stations,0.0,73.66,0.0,,tech_split
MT.EEA/PS2.FACILITY,DELIMARA POWER STATION,Malta,1(c),EXCLUDE — power stations,0.0,1867.0,0.0,,tech_split
https://registry.gdi-de.org/id/de.bb.inspire.pf.eureg/23020947,CEMEX Zement GmbH,Germany,3(c)(i),Glass,,,,no LCP data,
BE.WA/047010000.FACILITY,TotalEnergies Petrochemicals Feluy SA,Belgium,4(a)(viii),Basic organic chemicals / olefins,,,,no LCP data,
ES.CAED/008739000.FACILITY,TORTOSA ENERGIA,Spain,1(c),EXCLUDE — power stations,0.0,466.0,0.0,,tech_split
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000003500.ProductionFacility,"Borealis Polymers Oy, Petrokemian laitokset",Finland,4(a)(i),Basic organic chemicals / olefins,1.0,1098.0,801.54,,tech_split
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-114000-100-0250693,EGK Entsorgungsgesellschaft Krefeld GmbH & Co. KG,Germany,5(a),Hazardous waste disposal,,,,no LCP data,
CZ.MZP.C316/CZ49165297.FACILITY, Teplárna Strakonice,Czechia,1(c),EXCLUDE — power stations,0.0,351.16,0.0,,tech_split
https://registry.gdi-de.org/id/de.bw.lubw.inspire.pf/pf-450-4650956-00000000,Schwenk Zement ,Germany,3(c),Glass,,,,no LCP data,
DK.CAED/000105368.FACILITY,Maabjerg Energy Center – BioHeat & Power A/S,Denmark,5(b),Municipal waste incineration (WtE),,,,no LCP data,
AT.EEA/20000.00052.FACILITY,EVN AG,Austria,1(c),EXCLUDE — power stations,0.0,4518.74,0.0,,tech_split
AT.EEA/20000.00051.FACILITY,EVN AG,Austria,1(c),EXCLUDE — power stations,0.0,1762.34,0.0,,tech_split
ES.CAED/003100000.FACILITY,COMPAÑIA ESPAÑOLA DE LAMINACION (CELSA 1-4),Spain,2(b),Iron & Steel (BF/BOF),,,,no LCP data,
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-978004-900-0205103,STEAG Power GmbH Kraftwerk Bergkamen,Germany,1(c),EXCLUDE — power stations,0.0,2537.6,0.0,,tech_split
UK.CAED/NRW170377.FACILITY,Uskmouth Power Plant,United Kingdom,1(c),EXCLUDE — power stations,0.0,14349.69,0.0,,tech_split
GB.EEA/EW_EA-240.FACILITY,"Aylesford Newsprint  Ltd , Aylesford Newsprint Paper Mill",United Kingdom,6(b),Wood products / panels,,,,no LCP data,
CZ.MZP.T802/CZ72777707.FACILITY,Biocel Paskov a.s.,Czechia,6(a),Pulp & paper,1.0,42.88,36.54,,tech_split
PL.MŚ/000002110.FACILITY,Cukrownia Glinojeck,Poland,3(c),Glass,,,,no LCP data,
CZ.MZP.H525/CZ18989196.FACILITY,"Elektrárny Poříčí, Hodonín, Lokalita Poříčí, provoz Elektrárna Poříčí",Czechia,1(c),EXCLUDE — power stations,0.0,3454.17,0.0,,tech_split
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000020744.ProductionFacility,"Oy Alholmens Kraft Ab, Pietarsaaren voimalaitos",Finland,1(c),EXCLUDE — power stations,0.0,4062.71,0.0,,tech_split
https://registry.gdi-de.org/id/de.st.lau.pf.anlagen-ied-euregistry/100276,Mercer Stendal GmbH ,Germany,6(a),Pulp & paper,1.0,103.51,88.19,,tech_split
NO.EEA/0000.0044.02.FACILITY,Brage,Norway,3(a),Cement clinker,,,,no LCP data,
RO.CAED/101TM0001.FACILITY,SC COLTERM SA - CET SUD,Romania,1(c),EXCLUDE — power stations,0.0,2075.98,0.0,,tech_split
BE.EEA/W005.FACILITY,ARCELORMITTAL LIEGE sa (COKE-FONTE),Belgium,2(b),Iron & Steel (BF/BOF),,,,no LCP data,
AT.CAED/9008390306826.FACILITY,Mondi Neusiedler GmbH & Co KG,Austria,6(a),Pulp & paper,,,,no LCP data,
DE.EEA/06-05-800-0203946.FACILITY,RWE Power AG Kraftwerk Goldenberg,Germany,1(c),EXCLUDE — power stations,0.0,4567.0,0.0,,tech_split
IT.CAED/960101004.FACILITY,Air Liquide Italia Produzione - Impianto Produzione Idrogeno Melilli,Italy,4(b),Basic inorganic chemicals / fertiliser,,,,no LCP data,
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000002416.ProductionFacility,"Tampereen Energia Oy, Lielahden voimalaitos",Finland,1(c),EXCLUDE — power stations,0.0,744.0,0.0,,tech_split
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000011323.ProductionFacility,"Helen Oy, Vuosaaren voimalaitokset",Finland,1(c),EXCLUDE — power stations,0.0,1324.67,0.0,,tech_split
IE.CAED/P0561.FACILITY,Electricity Supply Board (Aghada),Ireland,1(c),EXCLUDE — power stations,0.0,6097.3,0.0,,tech_split
