source_id,source_name,latitude,longitude,pvgis_year,annual_kwh_per_kwp,annual_cf,hourly_file,error
FR.CAED/6155.FACILITY,EGGER PANNEAUX ET DECORS,48.33671,6.65654,2023,1327.17,0.151504,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/FR.CAED_6155.FACILITY.csv,
FR.CAED/791.FACILITY,LES DERIVES RESINIQUES ET TERPENIQUES,43.94703,-1.29872,2023,1562.24,0.178338,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/FR.CAED_791.FACILITY.csv,
FR.CAED/7646.FACILITY,RHONE ENERGIES FOS-SUR-MER SAS,43.44832,4.93111,2023,1923.2,0.219543,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/FR.CAED_7646.FACILITY.csv,
PL.MŚ/000000212.FACILITY,Kronospan Mielec Sp. z o.o.,50.307014465332,21.470874786377,2023,1204.12,0.137456,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/PL.MŚ_000000212.FACILITY.csv,
FR.CAED/1260.FACILITY,STE BEARNAISE DE GESTION INDUSTRIELLE,43.41473,-0.61294,2023,1535.72,0.17531,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/FR.CAED_1260.FACILITY.csv,
FR.CAED/7588.FACILITY,FIBRE EXCELLENCE PROVENCE,43.7932,4.66201,2023,1839.31,0.209967,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/FR.CAED_7588.FACILITY.csv,
PL.MŚ/000000136.FACILITY,"Celsa ""Huta Ostrowiec"" Sp.o.o.",50.9482231140137,21.4450912475586,2023,1216.47,0.138867,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/PL.MŚ_000000136.FACILITY.csv,
ES.CAED/003378000.FACILITY,CEASA ENCE- FÁBRICA DE NAVIA,43.54111,-6.72114,2023,1626.29,0.18565,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/ES.CAED_003378000.FACILITY.csv,
EE.KAUR.TTR/88.FACILITY,"Horizon Tselluloosi ja Paberi AS, Kehra paberivabrik",59.3405854971,25.3401582309,2023,1114.19,0.127191,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/EE.KAUR.TTR_88.FACILITY.csv,
IT.CAED/330282002.FACILITY,Stabilimento di Tolmezzo,46.3939,13.0169,2023,1450.97,0.165636,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/IT.CAED_330282002.FACILITY.csv,
FR.CAED/9964.FACILITY,SOC D'EXPLOITATION THERMIQUE DU MIRAIL,43.55826,1.39858,2023,1504.5,0.171746,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/FR.CAED_9964.FACILITY.csv,
FR.CAED/3936.FACILITY,LAT NITROGEN FRANCE,49.42375,1.03674,2023,1292.14,0.147505,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/FR.CAED_3936.FACILITY.csv,
FR.CAED/10011.FACILITY,FIBRE EXCELLENCE SAINT-GAUDENS SAS,43.09995,0.72184,2023,1603.41,0.183038,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/FR.CAED_10011.FACILITY.csv,
FR.CAED/662.FACILITY,SMURFIT WESTROCK CELLULOSE DU PIN,44.62884,-0.97612,2023,1484.85,0.169504,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/FR.CAED_662.FACILITY.csv,
FR.CAED/5938.FACILITY,SAINT-GOBAIN PAM CANALISATION,48.89672,6.05187,2023,1315.99,0.150227,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/FR.CAED_5938.FACILITY.csv,
PL.MŚ/000000053.FACILITY,Grupa Ożarów S.A.,50.9304275512695,21.6765041351318,2023,1214.28,0.138616,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/PL.MŚ_000000053.FACILITY.csv,
ES.CAED/001619000.FACILITY,FÁBRICA DE PALOS DE LA FRONTERA (CEPSA QUÍMICA),37.18396,-6.889568,2023,2033.72,0.23216,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/ES.CAED_001619000.FACILITY.csv,
PL.MŚ/000000273.FACILITY,Euroglas Polska Sp. z o.o.,51.6197776794434,19.9349212646484,2023,1184.74,0.135245,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/PL.MŚ_000000273.FACILITY.csv,
ES.CAED/001960000.FACILITY,"DS SMITH SPAIN, S.A.",41.84,-4.559444,2023,1789.21,0.204248,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/ES.CAED_001960000.FACILITY.csv,
FR.CAED/44.FACILITY,SOLVAY FRANCE,47.03851,5.41265,2023,1447.45,0.165234,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/FR.CAED_44.FACILITY.csv,
FR.CAED/3839.FACILITY,TOTALENERGIES PETROCHEMICALS FRANCE,49.50488,0.20609,2023,1371.7,0.156586,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/FR.CAED_3839.FACILITY.csv,
