run_type,source_id,source_name,country,iso3_country,eprtr_activity,latitude,longitude,annual_heat_demand_MWh_th,heat_demand_provenance,pvgis_year,pvgis_annual_cf,pvgis_kwh_per_kwp,bnef_annual_cost_usd_kw_yr,bnef_data_source,site_pv_lcoe_eur_mwh,bnef_country_lcoe_eur_mwh,lcoe_delta_eur_mwh,lcoh_hb_site_specific_eur_mwhth,lcoh_hb_bnef_eur_mwhth,lcoh_hb_delta_eur_mwhth,lcoh_gas_eur_mwhth,lcoh_hb_vs_gas_delta_eur_mwhth,electricity_needed_mwh_yr,solar_capacity_needed_mwp,land_needed_km2,suitable_land_km2,land_feasibility,land_surplus_deficit_km2,computation_status,notes
offgrid_bnef_pv,IT.CAED/280691001.FACILITY,RAFFINERIA SARPOM DI TRECATE,Italy,ITA,1(a),45.4372,8.7858,43225.62,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,2023,0.18187,1593.18,47.52,bnef,27.471,33.128,-5.657,32.676,38.962,-6.286,83.636,-50.96,48028.5,30.146,3.0146,179.4574,FEASIBLE,176.44,COMPUTED,
offgrid_bnef_pv,IT.CAED/960101006.FACILITY,SASOL ITALY ENERGIA SRL,Italy,ITA,4(a),37.2191,15.1752,,NO_HEAT_DATA,2023,0.212737,1863.57,47.52,bnef,23.485,33.128,,28.247,,,,,,,,59.9547,NOT_COMPUTABLE,PENDING,COMPUTED,SITE_LCOE_DEVIATES_GT20PCT_FROM_BNEF
offgrid_bnef_pv,FR.CAED/788.FACILITY,RAYONIER A.M. TARTAS,France,FRA,6(a),43.83137,-0.82634,80155.03,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,2023,0.170695,1495.28,42.22,bnef,26.005,39.096,-13.091,31.047,45.593,-14.546,99.913,-68.866,89061.1,59.561,5.9561,116.1941,FEASIBLE,110.24,COMPUTED,SITE_LCOE_DEVIATES_GT20PCT_FROM_BNEF
offgrid_bnef_pv,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH,Poland,POL,3(c),52.8368148803711,17.9895725250244,,NO_HEAT_DATA,2023,0.134304,1176.51,54.68,proxied,42.805,38.332,,49.714,,,,,,,,216.0659,NOT_COMPUTABLE,PENDING,COMPUTED,
offgrid_bnef_pv,ES.CAED/000704000.FACILITY,"BP ENERGÍA ESPAÑA, S.A.",Spain,ESP,1(a),39.976742,0.014574,403151.67,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,2023,0.227292,1991.08,49.78,bnef,23.026,31.314,-8.288,27.737,36.946,-9.209,73.216,-45.479,447946.3,224.977,22.4977,61.0441,FEASIBLE,38.55,COMPUTED,SITE_LCOE_DEVIATES_GT20PCT_FROM_BNEF
offgrid_bnef_pv,PL.MŚ/000000197.FACILITY,ANWIL S.A.,Poland,POL,4(c),52.7022247314453,18.9658336639404,87330.0,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,2023,0.134317,1176.62,54.68,proxied,42.801,38.332,4.469,49.709,44.744,4.965,104.661,-54.952,97033.3,82.468,8.2468,117.1924,FEASIBLE,108.95,COMPUTED,
offgrid_bnef_pv,FR.CAED/7656.FACILITY,ARCELORMITTAL MEDITERRANEE,France,FRA,2(b),43.46551,4.93663,44706.56,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,2023,0.219613,1923.81,42.22,bnef,20.212,39.096,-18.884,24.611,45.593,-20.982,99.913,-75.302,49674.0,25.821,2.5821,45.8955,FEASIBLE,43.31,COMPUTED,SITE_LCOE_DEVIATES_GT20PCT_FROM_BNEF
offgrid_bnef_pv,FR.CAED/9517.FACILITY,TEREOS STARCH & SWEETENERS EUROPE,France,FRA,8(b)(ii),48.1668,7.59363,657354.83,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,2023,0.156492,1370.87,42.22,bnef,28.365,39.096,-10.731,33.669,45.593,-11.924,99.913,-66.244,730394.3,532.796,53.2796,140.0674,FEASIBLE,86.79,COMPUTED,SITE_LCOE_DEVIATES_GT20PCT_FROM_BNEF
offgrid_bnef_pv,PL.MŚ/000000278.FACILITY,"Huta Miedzi ""Legnica""",Poland,POL,2(e),51.1823844909668,16.1176204681396,46900.0,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,2023,0.140964,1234.85,54.68,proxied,40.783,38.332,2.451,47.467,44.744,2.723,104.661,-57.194,52111.1,42.201,4.2201,222.5482,FEASIBLE,218.33,COMPUTED,
offgrid_bnef_pv,FR.CAED/11135.FACILITY,ROQUETTE FRERES,France,FRA,8(b)(ii),50.63404,2.67593,1762585.7,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,2023,0.140635,1231.97,42.22,bnef,31.563,39.096,-7.533,37.223,45.593,-8.37,99.913,-62.69,1958428.6,1589.682,158.9682,246.7102,FEASIBLE,87.74,COMPUTED,
