eprtr_facility_id,eprtr_base_id,eprtr_facility_name,eprtr_country,eprtr_activity,eprtr_lat,eprtr_lon,eprtr_co2_t,eprtr_co2_year,match_method,match_km,lcp_base_id,lcp_inspire_id,lcp_city,lcp_n_base_ids,lcp_n_parts,lcp_lat,lcp_lon,lcp_NaturalGas_TJ,lcp_Coal_TJ,lcp_Lignite_TJ,lcp_OtherSolidFuels_TJ,lcp_LiquidFuels_TJ,lcp_Peat_TJ,lcp_OtherGases_TJ,lcp_Biomass_TJ,lcp_substitutable_thermal_TJ,lcp_total_TJ
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-978004-900-9139027,https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-978004-900-9139027,Biomasseheizkraftwerk Bergkamen,Germany,5(a),51.62109,7.62976,174000.0,2024,spatial_nearest,0.067,https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/anl-2017-978004-900-9139027-0001g,https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/anl-2017-978004-900-9139027-0001g,Bergkamen,1,1.0,51.62096,7.62881,,,,,,,,,,
https://registry.gdi-de.org/id/de.bb.inspire.pf.eureg/23024102,https://registry.gdi-de.org/id/de.bb.inspire.pf.eureg/23024102,ArcelorMittal Eisenhüttenstadt GmbH ,Germany,2(b),52.16614,14.61768,1973000.0,2024,no_match,,,,,0,,,,,,,,,,,,,
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-362028-300-9968049,https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-362028-300-9968049,EEW Energy from Waste Saarbrücken GmbH,Germany,5(b),50.85665,6.84358,357000.0,2024,spatial_nearest,0.365,https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/anl-2017-362028-300-9046030-0001g,https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/anl-2017-362028-300-9046030-0001g,Hürth,1,1.0,50.85946,6.84089,3936.0,,,,,,,,3936.0,3936.0
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0100239220.ProductionFacility,http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0100239220.ProductionFacility,"Oy Linde Gas Ab, Kilpilahden vedyntuotantolaitos",Finland,4(b)(i),60.31768,25.51675,157000.0,2024,spatial_nearest,0.718,http://paikkatiedot.fi/so/1002031/pf/ProductionInstallationPart/1900026047.ProductionInstallationPart,http://paikkatiedot.fi/so/1002031/pf/ProductionInstallationPart/1900026047.ProductionInstallationPart,Porvoo,1,1.0,60.31311,25.52596,,,,,,,,,,
PL.MŚ/000000232.FACILITY,PL.MŚ/000000232,Dyckerhoff Polska Sp. z o.o.,Poland,3(c),50.806941986084,20.5222225189209,735000.0,2024,id_direct,0.0,PL.MŚ/000000232,PL.MŚ/000000232.PART,Zielona Góra,1,1.0,51.9508,15.4897,64.0,,,,,,,,64.0,64.0
RO.CAED/101BH0001.FACILITY,RO.CAED/101BH0001,TERMOFICARE ORADEA SA,Romania,1(c),47.082514,21.895833,241000.0,2024,spatial_nearest,0.068,RO.CAED/101BH0111; RO.CAED/101BH0211; RO.CAED/101BH0311,RO.CAED/101BH0111.PART,Oradea,3,3.0,47.08188766666667,21.896714666666668,3369.719,,,,,,,,3369.719,3369.719
NL.EEA/10815.FACILITY,NL.EEA/10815,AVR NV (Rotterdam),Netherlands,5(b),51.89474,4.47324,311000.0,2009,no_match,,,,,0,,,,,,,,,,,,,
FR.CAED/9479.FACILITY,FR.CAED/9479,SENERVAL UIOM,France,,48.51817,7.79033,208000.0,2023,no_match,,,,,0,,,,,,,,,,,,,
PL.MŚ/000000705.FACILITY,PL.MŚ/000000705,Elektrownia Pątnów II,Poland,1(c),52.3011512756348,18.2368335723877,1170000.0,2024,spatial_nearest,0.006,PL.MŚ/000000272,PL.MŚ/000000272.PART,Konin,1,1.0,52.3012,18.2368,,,10477.5,,78.1,,,,10555.6,10555.6
FR.CAED/10790.FACILITY,FR.CAED/10790,VERSALIS FRANCE S.A.S.,France,4(a)(i),51.03032,2.2455,522000.0,2024,id_direct,0.0,FR.CAED/10790,FR.CAED/10790.A.INSTALLATIONPART,DUNKERQUE,1,1.0,51.03032,2.2455,725.648987,,,,762.060608,,1261.2248610000001,,1487.709595,2748.934456
https://registry.gdi-de.org/id/de.by.inspire.pf.ied/S00968,https://registry.gdi-de.org/id/de.by.inspire.pf.ied/S00968,MHKW Weißenhorn,Germany,5(b),48.29890951982563,10.133934335670647,102000.0,2024,no_match,,,,,0,,,,,,,,,,,,,
IT.CAED/200972003.FACILITY,IT.CAED/200972003,Centrale di Cogenerazione,Italy,1(c),45.4172,9.2828,129316.0,2024,id_direct,0.0,IT.CAED/200972003,IT.CAED/200972003.PART,SAN DONATO MILANESE,1,1.0,45.4179,9.2821,1214.64,,,,,,,,1214.64,1214.64
https://registry.gdi-de.org/id/de.sh/50081814,https://registry.gdi-de.org/id/de.sh/50081814,Müllverbrennung Kiel GmbH & Co. KG - Müllheizkraftwerk Kiel ,Germany,5(b),54.30724,10.1115,130000.0,2024,no_match,,,,,0,,,,,,,,,,,,,
BE.WA/119010000.FACILITY,BE.WA/119010000,LUMINUS - Centrale de Seraing,Belgium,1(c),50.603073,5.490941,149000.0,2023,spatial_nearest,0.0,BE.WA/000002514; BE.WA/119010101,BE.WA/000002514.PART,Seraing,2,2.0,50.603073,5.490941,607.687667999,,,,,,,,607.687667999,607.687667999
HR.CAED/000000207.FACILITY,HR.CAED/000000207,Vetropack Straža d.d.,Croatia,3(e),46.22116,15.7059,107000.0,2017,no_match,,,,,0,,,,,,,,,,,,,
