eprtr_facility_id,facility_name,country,iso3,analysis_year_grid,eprtr_activity_grid,temp_band,heat_MWh,match_method,least_cost_pathway_grid,least_cost_pathway_off,lcoh_gas_grid,lcoh_hb_grid,lcoh_hb_off,hb_savings_vs_grid_gas_EUR_MWhth,elec_grid_EUR_MWh,elec_off_hb_EUR_MWh,elec_ratio_grid_to_offhb,gas_EUR_MWh,bnef_data_source,lat,lon
PL.MŚ/000000898.FACILITY,"ZAKŁAD PRODUKCYJNY ""JANIKOSODA"" W JANIKOWIE",Poland,POL,2024,4(b),mid,1186944.44,spatial_nearest,natural_gas,heat_battery,104.661,234.541,44.744,59.917,209.15,38.332,5.456276740060524,81.015,proxied,52.7644462585449,18.1108341217041
PL.MŚ/000000072.FACILITY,International Paper - Kwidzyn Sp. z o.o.,Poland,POL,2024,6(b),high,2226938.89,id_direct,natural_gas,heat_battery,104.661,234.541,44.744,59.917,209.15,38.332,5.456276740060524,81.015,proxied,53.6997413635254,18.9216861724854
PL.MŚ/000000554.FACILITY,ARCELORMITTAL POLAND SPÓŁKA AKCYJNA ODDZIAŁ W ZDZIESZOWICACH,Poland,POL,2024,1(d),mid,1146565.0,spatial_nearest,natural_gas,heat_battery,104.661,234.541,44.744,59.917,209.15,38.332,5.456276740060524,81.015,proxied,50.4191131591797,18.1425285339355
PL.MŚ/000000062.FACILITY,"Cementownia ""Odra"" S.A.",Poland,POL,2024,3(c),high,90647.22,id_direct,natural_gas,heat_battery,104.661,234.541,44.744,59.917,209.15,38.332,5.456276740060524,81.015,proxied,50.6806411743164,17.9139156341553
PL.MŚ/000000586.FACILITY,"Grupa Azoty Zakłady Azotowe ""Puławy"" S.A.",Poland,POL,2024,4(a),mid,2823111.11,spatial_nearest,natural_gas,heat_battery,104.661,234.541,44.744,59.917,209.15,38.332,5.456276740060524,81.015,proxied,51.4607086181641,21.9740314483643
PL.MŚ/000000067.FACILITY,"CEMENTOWNIA ""WARTA"" SPÓŁKA AKCYJNA",Poland,POL,2024,3(c),high,435513.89,id_direct,natural_gas,heat_battery,104.661,234.541,44.744,59.917,209.15,38.332,5.456276740060524,81.015,proxied,51.1030540466309,18.9263877868652
PL.MŚ/000000221.FACILITY,"Huta Cynku ""Miasteczko Śląskie"" S.A.",Poland,POL,2024,2(e),high,1208.33,id_direct,natural_gas,heat_battery,104.661,234.541,44.744,59.917,209.15,38.332,5.456276740060524,81.015,proxied,50.5025901794434,18.9307708740234
PL.MŚ/000003643.FACILITY,Synthos Dwory 7 spółka z ograniczoną odpowiedzialnością spółka jawna,Poland,POL,2024,4(a),mid,1408861.11,spatial_nearest,natural_gas,heat_battery,104.661,234.541,44.744,59.917,209.15,38.332,5.456276740060524,81.015,proxied,50.0400009155273,19.273889541626
PL.MŚ/000000429.FACILITY,"Grupa Azoty Zakłady Chemiczne ""POLICE"" SA",Poland,POL,2024,4(b),mid,39891.67,spatial_nearest,natural_gas,heat_battery,104.661,234.541,44.744,59.917,209.15,38.332,5.456276740060524,81.015,proxied,53.5698280334473,14.5381364822388
PL.MŚ/000000063.FACILITY,LAFARGE CEMENT S.A,Poland,POL,2024,3(c),high,248880.56,id_direct,natural_gas,heat_battery,104.661,234.541,44.744,59.917,209.15,38.332,5.456276740060524,81.015,proxied,50.8286399841309,20.2727031707764
