eprtr_facility_id,facility_name,country,iso3,analysis_year,temp_band,heat_MWh,least_cost_pathway_grid,least_cost_pathway_off,pathway_flip,lcoh_winner_grid,lcoh_winner_off,delta_winner_lcoh,lcoh_gas_grid,lcoh_gas_off,lcoh_hb_grid,lcoh_hb_off,lcoh_hp_grid,lcoh_hp_off,elec_grid_EUR_MWh,elec_off_hb_EUR_MWh,elec_off_hp_EUR_MWh,gas_EUR_MWh
SE.CAED/10015075.Facility,Billerud Sweden AB Skärblacka Bruk,Sweden,SWE,2024,high,8400.0,heat_battery,heat_battery,same,101.875,44.744,-57.131,143.072,143.072,101.875,44.744,,,89.75,38.332,139.78,115.586
CZ.MZP.U422/CZ88427918.FACILITY,"ACTHERM, spol. s r.o., odštěpný závod Chomutov",Czechia,CZE,2018,mid,8392.57,natural_gas,natural_gas,same,36.969,36.969,0.0,36.969,36.969,82.93,44.744,,,72.7,38.332,139.78,29.021
SE.CAED/10014775.Facility,Värmeverket Vattumannen,Sweden,SWE,2024,mid,8338.89,heat_battery,heat_battery,same,101.875,44.744,-57.131,143.072,143.072,101.875,44.744,,,89.75,38.332,139.78,115.586
NL.EEA/94003.FACILITY,Centrale Bergum,Netherlands,NLD,2010,mid,8297.21,natural_gas,natural_gas,same,44.311,44.311,0.0,44.311,44.311,112.264,44.744,,,99.1,38.332,139.78,35.791
UK.SEPA/200000035.Facility,Fife NGL Plant,United Kingdom,GBR,2019,mid,8277.78,natural_gas,natural_gas,same,40.822,40.822,0.0,40.822,40.822,173.208,54.322,,,153.95,46.953,147.581,30.63
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0100198358.ProductionFacility,"Keravan Lämpövoima Oy, Keravan voimalaitos",Finland,FIN,2024,mid,8105.56,heat_battery,heat_battery,same,94.153,44.744,-49.409000000000006,123.527,123.527,94.153,44.744,,,82.8,38.332,139.78,97.995
GB.EEA/EW_EA-671.FACILITY,"Centrica Kps Ltd, Centrica Killingholme Power Station",United Kingdom,GBR,2014,mid,7944.44,natural_gas,natural_gas,same,46.731,46.731,0.0,46.731,46.731,148.097,54.322,,,131.35,46.953,147.581,39.786
SE.CAED/10014121.Facility,Igelsta kraftvärmeverk,Sweden,SWE,2024,mid,7573.5,heat_battery,heat_battery,same,101.875,44.744,-57.131,143.072,143.072,101.875,44.744,,,89.75,38.332,139.78,115.586
SE.CAED/10014118.Facility,Igelsta värmeverk,Sweden,SWE,2024,mid,7573.5,heat_battery,heat_battery,same,101.875,44.744,-57.131,143.072,143.072,101.875,44.744,,,89.75,38.332,139.78,115.586
SE.CAED/10022364.Facility,"Sundsvall Energi AB, Korstaverk",Sweden,SWE,2024,mid,7500.0,heat_battery,heat_battery,same,101.875,44.744,-57.131,143.072,143.072,101.875,44.744,,,89.75,38.332,139.78,115.586
SE.CAED/10022490.Facility,Domsjö Fabriker AB,Sweden,SWE,2024,high,7050.0,heat_battery,heat_battery,same,101.875,44.744,-57.131,143.072,143.072,101.875,44.744,,,89.75,38.332,139.78,115.586
UK.CAED/EW_EA-122.FACILITY,Lynemouth Power Station,United Kingdom,GBR,2015,mid,6527.78,natural_gas,natural_gas,same,46.512,46.512,0.0,46.512,46.512,169.319,54.322,,,150.45,46.953,147.581,39.287
SE.CAED/10022147.Facility,Björksätra Kraftvärmeverk,Sweden,SWE,2021,mid,6238.89,heat_battery,heat_battery,same,96.208,44.744,-51.464,118.195,118.195,96.208,44.744,,,84.65,38.332,139.78,94.61
SE.CAED/10017067.Facility,Södra Cell Mörrum,Sweden,SWE,2024,high,6200.0,heat_battery,heat_battery,same,101.875,44.744,-57.131,143.072,143.072,101.875,44.744,,,89.75,38.332,139.78,115.586
UK.SEPA/200000014.Facility,Cameronbridge Distillery,United Kingdom,GBR,2013,low,5583.33,natural_gas,natural_gas,same,45.901,45.901,0.0,45.901,45.901,133.319,54.322,62.604,73.151,118.05,46.953,147.581,39.342
UK.CAED/EW_EA-13640.FACILITY,Chilton BioMass Plant,United Kingdom,GBR,2016,high,5269.44,natural_gas,natural_gas,same,35.705,35.705,0.0,35.705,35.705,149.653,54.322,,,132.75,46.953,147.581,29.965
GB.EEA/EW_EA-2392.FACILITY,"Sse Generation Ltd, Weston Point Salt Works Chp Pant",United Kingdom,GBR,2014,mid,5168.89,natural_gas,natural_gas,same,46.731,46.731,0.0,46.731,46.731,148.097,54.322,,,131.35,46.953,147.581,39.786
UK.CAED/EW_EA-16950.FACILITY,Runcorn Energy From Waste Facility,United Kingdom,GBR,2019,high,5168.89,natural_gas,natural_gas,same,40.822,40.822,0.0,40.822,40.822,173.208,54.322,,,153.95,46.953,147.581,30.63
SE.CAED/10014983.Facility,Kraftvärmeverket i Linköping,Sweden,SWE,2024,mid,4704.75,heat_battery,heat_battery,same,101.875,44.744,-57.131,143.072,143.072,101.875,44.744,,,89.75,38.332,139.78,115.586
SE.CAED/10014262.Facility,BRISTAVERKET,Sweden,SWE,2024,mid,4600.0,heat_battery,heat_battery,same,101.875,44.744,-57.131,143.072,143.072,101.875,44.744,,,89.75,38.332,139.78,115.586
NL.RIVM/000004753.FACILITY,Rockwool B.V.,Netherlands,NLD,2017,high,4552.91,natural_gas,natural_gas,same,42.364,42.364,0.0,42.364,42.364,95.486,44.744,,,84.0,38.332,139.78,35.958
SE.CAED/10023763.Facility,Dåva kraftvärmeverk,Sweden,SWE,2024,mid,4438.89,heat_battery,heat_battery,same,101.875,44.744,-57.131,143.072,143.072,101.875,44.744,,,89.75,38.332,139.78,115.586
DK.EEA/170.FACILITY,AarhusKarlshamn Denmark A/S,Denmark,DNK,2007,low,3429.72,natural_gas,natural_gas,same,35.854,35.854,0.0,35.854,35.854,101.597,44.744,52.408,70.365,89.5,38.332,139.78,31.074
LT.CAED/301150568.FACILITY,"UAB ""Idex Taika power plant""",Lithuania,LTU,2019,mid,3388.89,natural_gas,natural_gas,same,43.905,43.905,0.0,43.905,43.905,106.097,44.744,,,93.55,38.332,139.78,33.405
LT.EEA/000000003.FACILITY,Kauno elektrine,Lithuania,LTU,2015,mid,3388.89,natural_gas,natural_gas,same,33.565,33.565,0.0,33.565,33.565,112.486,44.744,,,99.3,38.332,139.78,27.634
SE.CAED/10014500.Facility,"HPC Simpan och Ena Kraft, kraftvärmeverket",Sweden,SWE,2024,mid,3169.44,heat_battery,heat_battery,same,101.875,44.744,-57.131,143.072,143.072,101.875,44.744,,,89.75,38.332,139.78,115.586
UK.CAED/EW_EA-1081.FACILITY,Elean Power Station EPR/AP3130LY,United Kingdom,GBR,2019,mid,3083.33,natural_gas,natural_gas,same,40.822,40.822,0.0,40.822,40.822,173.208,54.322,,,153.95,46.953,147.581,30.63
https://registry.gdi-de.org/id/de.ni.mu/07070168330,Enertec Hameln GmbH ,Germany,DEU,2017,high,2755.56,natural_gas,natural_gas,same,40.885,40.885,0.0,40.885,40.885,170.653,47.885,,,151.65,41.159,143.427,34.626
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000001861.ProductionFacility,"Pori Energia Oy, Aittaluodon voimalaitos",Finland,FIN,2024,mid,2555.56,heat_battery,heat_battery,same,94.153,44.744,-49.409000000000006,123.527,123.527,94.153,44.744,,,82.8,38.332,139.78,97.995
https://registry.gdi-de.org/id/de.st.lau.pf.anlagen-ied-euregistry/101049,Stadtwerke Leipzig GmbH ,Germany,DEU,2017,mid,2201.11,natural_gas,natural_gas,same,40.885,40.885,0.0,40.885,40.885,170.653,47.885,,,151.65,41.159,143.427,34.626
SE.CAED/10014053.Facility,HÖGDALENVERKET,Sweden,SWE,2024,high,2161.11,heat_battery,heat_battery,same,101.875,44.744,-57.131,143.072,143.072,101.875,44.744,,,89.75,38.332,139.78,115.586
SE.CAED/10016795.Facility,"Heidelberg Materials Cement Sverige AB, Slitefabriken",Sweden,SWE,2024,high,2108.33,heat_battery,heat_battery,same,101.875,44.744,-57.131,143.072,143.072,101.875,44.744,,,89.75,38.332,139.78,115.586
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000003238.ProductionFacility,"Fortum Power and Heat Oy, Kivenlahden lämpökeskus",Finland,FIN,2024,mid,1666.67,heat_battery,heat_battery,same,94.153,44.744,-49.409000000000006,123.527,123.527,94.153,44.744,,,82.8,38.332,139.78,97.995
GB.EEA/EW_EA-668.FACILITY,"Centrica Barry Ltd, Barry Power Station",United Kingdom,GBR,2010,mid,1638.89,natural_gas,natural_gas,same,32.535,32.535,0.0,32.535,32.535,112.653,54.322,,,99.45,46.953,147.581,25.192
SE.CAED/10017848.Facility,"Västhamnsverket, (VHV)",Sweden,SWE,2024,mid,1300.0,heat_battery,heat_battery,same,101.875,44.744,-57.131,143.072,143.072,101.875,44.744,,,89.75,38.332,139.78,115.586
SE.CAED/10018098.Facility,Allöverket,Sweden,SWE,2024,mid,927.78,heat_battery,heat_battery,same,101.875,44.744,-57.131,143.072,143.072,101.875,44.744,,,89.75,38.332,139.78,115.586
SE.CAED/10014057.Facility,HAMMARBYVERKET,Sweden,SWE,2021,mid,811.11,heat_battery,heat_battery,same,96.208,44.744,-51.464,118.195,118.195,96.208,44.744,,,84.65,38.332,139.78,94.61
NL.EEA/44008.FACILITY,Ennatuurlijk; WKC Helmond,Netherlands,NLD,2010,mid,739.54,natural_gas,natural_gas,same,44.311,44.311,0.0,44.311,44.311,112.264,44.744,,,99.1,38.332,139.78,35.791
https://registry.gdi-de.org/id/de.th/5bf25e39-19d5-4254-adac-63f1b1cec499/77012924,Biomassekraftwerk Bischofferode/Holungen ,Germany,DEU,2017,mid,738.89,natural_gas,natural_gas,same,40.885,40.885,0.0,40.885,40.885,170.653,47.885,,,151.65,41.159,143.427,34.626
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000052805.ProductionFacility,"Järvi-Suomen Voima Oy, Ristiinan voimalaitos",Finland,FIN,2024,mid,683.33,heat_battery,heat_battery,same,94.153,44.744,-49.409000000000006,123.527,123.527,94.153,44.744,,,82.8,38.332,139.78,97.995
SE.CAED/10014627.Facility,Idbäckens Kraftvärmeverk,Sweden,SWE,2024,high,675.0,heat_battery,heat_battery,same,101.875,44.744,-57.131,143.072,143.072,101.875,44.744,,,89.75,38.332,139.78,115.586
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000011208.ProductionFacility,"Porvoon Energia Oy - Borgå Energi Ab, Tolkkisten voimalaitokset",Finland,FIN,2024,mid,672.22,heat_battery,heat_battery,same,94.153,44.744,-49.409000000000006,123.527,123.527,94.153,44.744,,,82.8,38.332,139.78,97.995
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0100335579.ProductionFacility,"Helen Oy, Vuosaaren biolämpökeskus",Finland,FIN,2024,mid,583.33,heat_battery,heat_battery,same,94.153,44.744,-49.409000000000006,123.527,123.527,94.153,44.744,,,82.8,38.332,139.78,97.995
UK.CAED/EW_EA-16885.FACILITY,Sleaford Renewable Energy Plant EPR/DP3030XH,United Kingdom,GBR,2019,mid,572.22,natural_gas,natural_gas,same,40.822,40.822,0.0,40.822,40.822,173.208,54.322,,,153.95,46.953,147.581,30.63
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000001170.ProductionFacility,"Helen Oy, Salmisaaren voimalaitokset",Finland,FIN,2024,mid,522.22,heat_battery,heat_battery,same,94.153,44.744,-49.409000000000006,123.527,123.527,94.153,44.744,,,82.8,38.332,139.78,97.995
SE.CAED/10014449.Facility,"Boländeranläggningarna, Kraftvärmeverket o Bolandv",Sweden,SWE,2024,mid,500.0,heat_battery,heat_battery,same,101.875,44.744,-57.131,143.072,143.072,101.875,44.744,,,89.75,38.332,139.78,115.586
SE.CAED/10014459.Facility,"Boländeranläggningarna, Avfallsförbränningsanläggn",Sweden,SWE,2024,high,500.0,heat_battery,heat_battery,same,101.875,44.744,-57.131,143.072,143.072,101.875,44.744,,,89.75,38.332,139.78,115.586
SE.CAED/10020475.Facility,Hedenverket,Sweden,SWE,2024,mid,319.44,heat_battery,heat_battery,same,101.875,44.744,-57.131,143.072,143.072,101.875,44.744,,,89.75,38.332,139.78,115.586
PL.MŚ/000000148.FACILITY,Grupa Ożarów S.A. Zakład Cementownia Rejowiec,Poland,POL,2018,high,270.56,natural_gas,natural_gas,same,42.703,42.703,0.0,42.703,42.703,99.93,44.744,,,88.0,38.332,139.78,34.182
HU.EEA/102600002.FACILITY,AUDI HUNGARIA Zrt.,Hungary,HUN,2017,high,216.39,natural_gas,natural_gas,same,33.671,33.671,0.0,33.671,33.671,88.319,44.744,,,77.55,38.332,139.78,28.133
EL.CAED/100085.FACILITY,PPC S.A. AES PAROS,Greece,GRC,2017,mid,186.94,natural_gas,natural_gas,same,36.815,36.815,0.0,36.815,36.815,127.875,44.744,,,113.15,38.332,139.78,30.963
UK.CAED/EW_EA-18408.FACILITY,Brigg Renewable Energy Plant,United Kingdom,GBR,2019,mid,166.67,natural_gas,natural_gas,same,40.822,40.822,0.0,40.822,40.822,173.208,54.322,,,153.95,46.953,147.581,30.63
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000003642.ProductionFacility,"Lahti Energia Oy, Heinolan voimalaitos",Finland,FIN,2007,mid,165.56,natural_gas,natural_gas,same,30.49,30.49,0.0,30.49,30.49,66.764,44.744,,,58.15,38.332,139.78,26.247
SE.CAED/10023054.Facility,Jämtkraft Lugnviksverket,Sweden,SWE,2021,mid,140.0,heat_battery,heat_battery,same,96.208,44.744,-51.464,118.195,118.195,96.208,44.744,,,84.65,38.332,139.78,94.61
