eprtr_facility_id,facility_name,country,iso3,analysis_year,temp_band,heat_MWh,least_cost_pathway_grid,least_cost_pathway_off,pathway_flip,lcoh_winner_grid,lcoh_winner_off,delta_winner_lcoh,lcoh_gas_grid,lcoh_gas_off,lcoh_hb_grid,lcoh_hb_off,lcoh_hp_grid,lcoh_hp_off,elec_grid_EUR_MWh,elec_off_hb_EUR_MWh,elec_off_hp_EUR_MWh,gas_EUR_MWh
FR.CAED/13783.FACILITY,SA DE LA RAFFINERIE DES ANTILLES,France,FRA,2023,mid,238182.7,natural_gas,heat_battery,natural_gas → heat_battery,118.864,45.593,-73.271,118.864,118.864,261.153,45.593,,,233.1,39.096,140.545,88.95
FR.CAED/8791.FACILITY,ELECTRICITE DE FRANCE,France,FRA,2023,mid,262498.41,natural_gas,heat_battery,natural_gas → heat_battery,118.864,45.593,-73.271,118.864,118.864,261.153,45.593,,,233.1,39.096,140.545,88.95
FR.CAED/7381.FACILITY,GAZELENERGIE GENERATION,France,FRA,2023,mid,304.79,natural_gas,heat_battery,natural_gas → heat_battery,118.864,45.593,-73.271,118.864,118.864,261.153,45.593,,,233.1,39.096,140.545,88.95
CY.CAED/0030030000.FACILITY,"Electricity Authority of Cyprus, Vassilikos Power Station",Cyprus,CYP,2023,mid,6835833.33,natural_gas,heat_battery,natural_gas → heat_battery,113.438,44.744,-68.694,113.438,113.438,308.875,44.744,,,276.05,38.332,139.78,84.067
CY.CAED/0020020000.FACILITY,"Electricity Authority of Cyprus, Dhekelia Power Station",Cyprus,CYP,2023,mid,4015555.56,natural_gas,heat_battery,natural_gas → heat_battery,113.438,44.744,-68.694,113.438,113.438,308.875,44.744,,,276.05,38.332,139.78,84.067
MT.ERA/000000183.FACILITY,Delimara Power Station EGM,Malta,MLT,2022,mid,3277777.78,natural_gas,heat_battery,natural_gas → heat_battery,113.034,44.744,-68.29,113.034,113.034,151.875,44.744,,,134.75,38.332,139.78,84.511
https://registry.gdi-de.org/id/de.hb/de.hb.pf.bube-eureg.06-04-11/2005382/5/0,ArcelorMittal Bremen GmbH ,Germany,DEU,2023,high,127472.22,natural_gas,heat_battery,natural_gas → heat_battery,115.596,47.885,-67.71100000000001,115.596,115.596,244.764,47.885,,,218.35,41.159,143.427,86.009
https://registry.gdi-de.org/id/de.by.inspire.pf.ied/S00334,Kelheim Fibres GmbH,Germany,DEU,2023,mid,665000.0,natural_gas,heat_battery,natural_gas → heat_battery,115.596,47.885,-67.71100000000001,115.596,115.596,244.764,47.885,,,218.35,41.159,143.427,86.009
https://registry.gdi-de.org/id/de.by.inspire.pf.ied/S00233,HBB Heizkraftwerk Bauernfeind Betreibergesellschaft mbH,Germany,DEU,2023,mid,160138.89,natural_gas,heat_battery,natural_gas → heat_battery,115.596,47.885,-67.71100000000001,115.596,115.596,244.764,47.885,,,218.35,41.159,143.427,86.009
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-112000-100-0888309,Venator Germany GmbH,Germany,DEU,2023,mid,240611.11,natural_gas,heat_battery,natural_gas → heat_battery,115.596,47.885,-67.71100000000001,115.596,115.596,244.764,47.885,,,218.35,41.159,143.427,86.009
https://registry.gdi-de.org/id/de.hb/de.hb.pf.bube-eureg.06-04-12-2187248-0-0,swb Erzeugung AG & Co. KG ,Germany,DEU,2023,mid,3307594.44,natural_gas,heat_battery,natural_gas → heat_battery,115.596,47.885,-67.71100000000001,115.596,115.596,244.764,47.885,,,218.35,41.159,143.427,86.009
https://registry.gdi-de.org/id/de.bw.lubw.inspire.pf/pf-450-9840001-00000000,Wärmeverbundkraftwerk Freiburg GmbH ,Germany,DEU,2023,mid,687914.44,natural_gas,heat_battery,natural_gas → heat_battery,115.596,47.885,-67.71100000000001,115.596,115.596,244.764,47.885,,,218.35,41.159,143.427,86.009
