eprtr_facility_id,facility_name,country,iso3,analysis_year_grid,eprtr_activity_grid,temp_band,heat_MWh,match_method,least_cost_pathway_grid,least_cost_pathway_off,lcoh_gas_grid,lcoh_hb_grid,lcoh_hb_off,hb_savings_vs_grid_gas_EUR_MWhth,elec_grid_EUR_MWh,elec_off_hb_EUR_MWh,elec_ratio_grid_to_offhb,gas_EUR_MWh,bnef_data_source,lat,lon
EE.KAUR.TTR/76.FACILITY,"Enefit Power AS, Enefit õlitööstus",Estonia,EST,2024,1(b),mid,2047222.22,spatial_nearest,natural_gas,heat_battery,83.883,163.986,44.744,39.138999999999996,145.65,38.332,3.7996973807784618,62.315,proxied,59.2732286256,27.895653742
EE.KAUR.TTR/185.FACILITY,"VKG Oil AS, Kohtla-Järve Petroter põlevkiviõlitehas",Estonia,EST,2024,1(b),mid,1272875.0,spatial_nearest,natural_gas,heat_battery,83.883,163.986,44.744,39.138999999999996,145.65,38.332,3.7996973807784618,62.315,proxied,59.3867080255,27.2380242422
EE.KAUR.TTR/88.FACILITY,"Horizon Tselluloosi ja Paberi AS, Kehra paberivabrik",Estonia,EST,2024,6(b),high,10694.44,id_direct,natural_gas,heat_battery,83.883,163.986,44.744,39.138999999999996,145.65,38.332,3.7996973807784618,62.315,proxied,59.3405854971,25.3401582309
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000027819.ProductionFacility,"SMA Mineral Oy, Röyttän Kalkkitehdas",Finland,FIN,2019,3(c)(ii),high,579916.67,spatial_nearest,natural_gas,heat_battery,79.665,81.597,44.744,34.92100000000001,71.5,38.332,1.8652822706876762,65.589,proxied,65.75984,24.1556
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0100300015.ProductionFacility,"Lahti Energia Oy, Kymijärven jätteenpolttolaitos, Lahti",Finland,FIN,2019,5(b),high,1472269.44,spatial_nearest,natural_gas,heat_battery,79.665,81.597,44.744,34.92100000000001,71.5,38.332,1.8652822706876762,65.589,proxied,60.99101,25.72008
HR.CAED/000000067.FACILITY,Rafinerija nafte Rijeka,Croatia,HRV,2024,1(a),mid,2223080.56,spatial_nearest,natural_gas,heat_battery,79.567,214.097,44.744,34.82299999999999,190.75,38.332,4.976260043827612,58.431,proxied,45.28543,14.5342
HR.CAED/000000064.FACILITY,Proizvodnja gnojiva,Croatia,HRV,2024,4(c),mid,577777.78,spatial_nearest,natural_gas,heat_battery,79.567,214.097,44.744,34.82299999999999,190.75,38.332,4.976260043827612,58.431,proxied,45.46648,16.79753
PT.CAED/PT.APA05764382.CI,Europaec (CI),Portugal,PRT,2024,6(a),high,514444.44,spatial_nearest,natural_gas,heat_battery,77.224,139.986,44.744,32.480000000000004,124.05,38.332,3.2361995199833036,56.322,proxied,41.703661,-8.712395
PT.CAED/PT.APA05765202.CI,"Navigator Pulp Cacia, S.A. (CI)",Portugal,PRT,2024,6(a),high,1790625.28,spatial_nearest,natural_gas,heat_battery,77.224,139.986,44.744,32.480000000000004,124.05,38.332,3.2361995199833036,56.322,proxied,40.6846,-8.587658
RO.CAED/102VL0001.FACILITY,SC CHIM COMPLEX S.A. Borzesti - Sucursala Ramnicu Valcea,Romania,ROU,2024,4(b)(iii),mid,141460.83,spatial_nearest,natural_gas,heat_battery,75.436,183.708,44.744,30.692000000000007,163.4,38.332,4.262756965459668,54.713,proxied,45.045965,24.296956
RO.CAED/106PH0001.FACILITY,OMV PETROM SA - Petrobrazi,Romania,ROU,2024,1(a),mid,225958.06,spatial_nearest,natural_gas,heat_battery,75.436,183.708,44.744,30.692000000000007,163.4,38.332,4.262756965459668,54.713,proxied,44.876519,26.010388
https://data.ied_registry.omgeving.vlaanderen.be/id/productionfacility/BE.VL.000000590.FACILITY,ALCO BIO FUEL,Belgium,BEL,2024,4(a)(ii),mid,531785.28,spatial_nearest,natural_gas,heat_battery,75.066,201.875,44.744,30.322000000000003,179.75,38.332,4.689293540644892,54.38,proxied,51.14163,3.79426
EL.CAED/100074.FACILITY,HEIDELBERG MATERIALS HELLAS S.A.,Greece,GRC,2024,3(c)(i),high,106405.56,spatial_nearest,natural_gas,heat_battery,70.504,199.653,44.744,25.760000000000005,177.75,38.332,4.6371178127934884,50.274,proxied,38.03679,23.59286
EL.CAED/100053.FACILITY,HELLENIC PETROLEUM R.S.S.O.P.P. S.A. - INDUSTRIAL DIVISION OF ASPROPYRGOS,Greece,GRC,2024,1(a),mid,808525.0,id_direct,natural_gas,heat_battery,70.504,199.653,44.744,25.760000000000005,177.75,38.332,4.6371178127934884,50.274,proxied,38.03236,23.60276
