source_id,eprtr_facility_name,iso3_country,eprtr_lat,eprtr_lon,eprtr_activity,process_heat_temp_band,process_temp_c,annual_heat_demand_MWh_th,load_mw,potential_mw_solar,suitable_land_adj_km2,land_feasibility_adj,overlap_n_neighbours,overlap_area_total_km2,bnef_year_used,epsilon_used
FR.CAED/9451.FACILITY,LAT NITROGEN OTTMARSHEIM,FRA,47.79004,7.51929,4(c),mid,350.0,98824.92,11.2814,632.0,6.32,INFEASIBLE,2,468.4926,2025.0,0.82
IT.CAED/051002003.FACILITY,ACEA AMBIENTE Srl UL1_Impianto di Termovalorizzazione,ITA,42.5806,12.6615,5(b),high,750.0,4088.74,0.4668,2872.62,28.7262,FEASIBLE,0,0.0,2025.0,0.85
PL.MŚ/000000309.FACILITY,SAINT-GOBAIN INNOVATIVE MATERIALS POLSKA SPÓŁKA Z O.O. ODDZIAŁ GLASS,POL,50.3058013916016,19.3013935089111,3(e),high,750.0,139211.11,15.8917,4691.4,46.914,FEASIBLE,1,222.1805,2025.0,0.68
PL.MŚ/000000021.FACILITY,KOKSOWNIA RADLIN,POL,50.0377769470215,18.4866676330566,1(d),mid,350.0,92335.0,10.5405,10234.64,102.3464,FEASIBLE,0,0.0,2025.0,0.9
IT.CAED/960111001.FACILITY,Sonatrach Raffineria Italiana-Raffineria di Augusta,ITA,37.2216,15.1905,1(a),mid,350.0,1067516.67,121.8626,1295.95,12.9595,INFEASIBLE,2,413.5625,2025.0,0.78
FR.CAED/3572.FACILITY,CRISTAL UNION,FRA,48.53275,4.11393,8(b)(ii),low,150.0,544376.3,62.1434,26790.33,267.9033,FEASIBLE,0,0.0,2025.0,0.85
PL.MŚ/000000067.FACILITY,"CEMENTOWNIA ""WARTA"" SPÓŁKA AKCYJNA",POL,51.1030540466309,18.9263877868652,3(c),high,750.0,209046.67,23.8638,14770.17,147.7017,FEASIBLE,0,0.0,2025.0,0.48
IT.CAED/100752001.FACILITY,Ahlstrom-Munksjö Italia S.p.A.,ITA,45.2533,7.5397,6(b),high,750.0,675.56,0.0771,5312.12,53.1212,FEASIBLE,0,0.0,2025.0,0.8
FR.CAED/82.FACILITY,TEREOS FRANCE,FRA,49.39409,3.37064,8(b)(ii),low,150.0,317925.28,36.2928,13592.42,135.9242,FEASIBLE,1,225.777,2025.0,0.85
FR.CAED/132.FACILITY,TEREOS FRANCE,FRA,49.83966,3.48056,8(b)(ii),low,150.0,874135.09,99.7871,23035.86,230.3586,FEASIBLE,0,0.0,2025.0,0.85
FR.CAED/3834.FACILITY,ESSO RAFFINAGE,FRA,49.48838,0.56521,1(a),mid,350.0,1220293.33,139.3029,2422.34,24.2234,INFEASIBLE,2,570.7108,2025.0,0.78
PL.MŚ/000000063.FACILITY,LAFARGE CEMENT S.A,POL,50.8286399841309,20.2727031707764,3(c),high,750.0,119462.67,13.6373,3079.65,30.7965,FEASIBLE,1,14.5029,2025.0,0.48
IT.CAED/270391001.FACILITY,RAFFINERIA DI SANNAZZARO DE' BURGONDI,ITA,45.0997,8.8768,1(a),mid,350.0,26720.57,3.0503,20127.37,201.2737,FEASIBLE,0,0.0,2025.0,0.78
FR.CAED/3833.FACILITY,EXXONMOBIL CHEMICAL FRANCE,FRA,49.48838,0.56521,4(a)(i),mid,350.0,1251582.9,142.8748,2489.08,24.8908,INFEASIBLE,2,570.7108,2025.0,0.8
ES.CAED/001998000.FACILITY,ALUMINA ESPAÑOLA S.A.,ESP,43.697515,-7.454929,4(b)(v),mid,350.0,1624966.67,185.4985,1070.49,10.7049,INFEASIBLE,0,0.0,2025.0,0.82
FR.CAED/6359.FACILITY,INEOS POLYMERS SARRALBE SAS,FRA,49.0053,7.03121,4(a)(viii),mid,350.0,264914.82,30.2414,12809.71,128.0971,FEASIBLE,0,0.0,2025.0,0.8
FR.CAED/10727.FACILITY,TEREOS FRANCE,FRA,50.20943,2.76763,8(b)(ii),low,150.0,398859.22,45.5319,25540.73,255.4073,FEASIBLE,0,0.0,2025.0,0.85
PL.MŚ/000000062.FACILITY,"Cementownia ""Odra"" S.A.",POL,50.6806411743164,17.9139156341553,3(c),high,750.0,43510.67,4.967,18142.73,181.4273,FEASIBLE,0,0.0,2025.0,0.48
FR.CAED/4602.FACILITY,SYLVAMO FRANCE SA,FRA,45.86907,0.82809,6(b),high,750.0,67000.09,7.6484,9378.92,93.7892,FEASIBLE,0,0.0,2025.0,0.8
FR.CAED/5125.FACILITY,SAICA PAPER FRANCE,FRA,45.21534,4.81297,6(a),high,750.0,110888.33,12.6585,11294.62,112.9462,FEASIBLE,0,0.0,2025.0,0.82
PL.MŚ/000000190.FACILITY,CEMEX Polska Sp. z o.o. - Zakład Cementownia Rudniki,POL,50.8750915527344,19.2573299407959,3(c),high,750.0,212.0,0.0242,18222.03,182.2203,FEASIBLE,0,0.0,2025.0,0.48
EL.CAED/100066.FACILITY,MOTOR OIL HELLLAS-CORINTH REFINERIES S.A.,GRC,37.91778,23.07361,1(a),mid,350.0,673335.0,76.8647,2644.97,26.4497,INFEASIBLE,0,0.0,2025.0,0.78
FR.CAED/3466.FACILITY,TEREOS FRANCE,FRA,48.7222,3.92123,8(b)(ii),low,150.0,439154.56,50.1318,27244.26,272.4426,FEASIBLE,0,0.0,2025.0,0.85
PL.MŚ/000000215.FACILITY,CEMEX Polska Sp. z o.o - Zakład Cementownia Chełm,POL,51.1371726989746,23.5443572998047,3(c),high,750.0,62437.33,7.1275,9923.32,99.2332,FEASIBLE,0,0.0,2025.0,0.48
IT.CAED/201532001.FACILITY,Impianto di termovalorizzazione Silla 2,ITA,45.5042,9.0706,5(b),high,750.0,3552.18,0.4055,9020.11,90.2011,FEASIBLE,0,0.0,2025.0,0.85
FR.CAED/5900.FACILITY,SOLVAY OPERATIONS FRANCE,FRA,48.6196,6.35778,4(b)(iv),mid,350.0,879780.36,100.4315,11827.22,118.2722,FEASIBLE,1,174.6751,2025.0,0.82
